case_folding,tokenized_text
halo maxim saya isi saldo non tunai kok tidak masuk dan tidak dapat digunakan gimana sih ini,"['halo', 'maxim', 'saya', 'isi', 'saldo', 'non', 'tunai', 'kok', 'tidak', 'masuk', 'dan', 'tidak', 'dapat', 'digunakan', 'gimana', 'sih', 'ini']"
susah nyri driver,"['susah', 'nyri', 'driver']"
lokasinya tolong di permudah dalam penjemputan dan pengantaran,"['lokasinya', 'tolong', 'di', 'permudah', 'dalam', 'penjemputan', 'dan', 'pengantaran']"
tolong sistem ulasan penumpang pada driver ditindak lanjuti secara tegas karna beberapa oknum driver yang meminta tarif di luar harga aplikasi dan terdapat beberapa oknum driver juga yang marah marah serta tidak ramah kepada penumpang,"['tolong', 'sistem', 'ulasan', 'penumpang', 'pada', 'driver', 'ditindak', 'lanjuti', 'secara', 'tegas', 'karna', 'beberapa', 'oknum', 'driver', 'yang', 'meminta', 'tarif', 'di', 'luar', 'harga', 'aplikasi', 'dan', 'terdapat', 'beberapa', 'oknum', 'driver', 'juga', 'yang', 'marah', 'marah', 'serta', 'tidak', 'ramah', 'kepada', 'penumpang']"
gw salah order makanan tapi mau batalkan gk bisa disuruh ganti pesanan malah kepesen sama driver di sekitar pada males semua klo order makan nunggu nya jam udh keburu lapar duluan,"['gw', 'salah', 'order', 'makanan', 'tapi', 'mau', 'batalkan', 'gk', 'bisa', 'disuruh', 'ganti', 'pesanan', 'malah', 'kepesen', 'sama', 'driver', 'di', 'sekitar', 'pada', 'males', 'semua', 'klo', 'order', 'makan', 'nunggu', 'nya', 'jam', 'udh', 'keburu', 'lapar', 'duluan']"
susah baca lokasi pemesanan driver sering bingung cari penentuan titik jemput titik tujuan yg gak pas sering bikin emosi auto uninstall,"['susah', 'baca', 'lokasi', 'pemesanan', 'driver', 'sering', 'bingung', 'cari', 'penentuan', 'titik', 'jemput', 'titik', 'tujuan', 'yg', 'gak', 'pas', 'sering', 'bikin', 'emosi', 'auto', 'uninstall']"
driver nya rasis agama pas mau ke gereja tiap minggu susah dapet driver lama banget responnya selalu ditolak nunggu sampe puluhan menit tolong lebih diperbaiki lagi,"['driver', 'nya', 'rasis', 'agama', 'pas', 'mau', 'ke', 'gereja', 'tiap', 'minggu', 'susah', 'dapet', 'driver', 'lama', 'banget', 'responnya', 'selalu', 'ditolak', 'nunggu', 'sampe', 'puluhan', 'menit', 'tolong', 'lebih', 'diperbaiki', 'lagi']"
top up dari bca nyangkut gak masuk di walet,"['top', 'up', 'dari', 'bca', 'nyangkut', 'gak', 'masuk', 'di', 'walet']"
buset susah banget baru daftar minta kode otp ga d kirim kirim saya pilih gojek lagi aja deh,"['buset', 'susah', 'banget', 'baru', 'daftar', 'minta', 'kode', 'otp', 'ga', 'd', 'kirim', 'kirim', 'saya', 'pilih', 'gojek', 'lagi', 'aja', 'deh']"
pengemudi nya tidak bagus tidak lengkap jas hujannya sudah tau hujan tiba datang bukannya berteduh malah di tancap kan mengendarai pakaian saya semua sampai basah belum sampai ke tempat tujuan tetapi di apk sudah dibuat sampai tujuan sangat tidak rekomendasi banget aplikasinya,"['pengemudi', 'nya', 'tidak', 'bagus', 'tidak', 'lengkap', 'jas', 'hujannya', 'sudah', 'tau', 'hujan', 'tiba', 'datang', 'bukannya', 'berteduh', 'malah', 'di', 'tancap', 'kan', 'mengendarai', 'pakaian', 'saya', 'semua', 'sampai', 'basah', 'belum', 'sampai', 'ke', 'tempat', 'tujuan', 'tetapi', 'di', 'apk', 'sudah', 'dibuat', 'sampai', 'tujuan', 'sangat', 'tidak', 'rekomendasi', 'banget', 'aplikasinya']"
kenapa semua driver nya tidak memiliki uang kecil untuk kembalian ya dan juga para driver tidak ramah dan tidak mau menerima uang recehan aduh overrated banget lah ni apk benci banget sama para driver nya tolong di edukasi lagi,"['kenapa', 'semua', 'driver', 'nya', 'tidak', 'memiliki', 'uang', 'kecil', 'untuk', 'kembalian', 'ya', 'dan', 'juga', 'para', 'driver', 'tidak', 'ramah', 'dan', 'tidak', 'mau', 'menerima', 'uang', 'recehan', 'aduh', 'overrated', 'banget', 'lah', 'ni', 'apk', 'benci', 'banget', 'sama', 'para', 'driver', 'nya', 'tolong', 'di', 'edukasi', 'lagi']"
pengalaman saya pesen maxim waktu order harga nya pas sudah sampai lokasi tiba berubah ini gimana yaaa konsepnya kok ngga sesuai harga order ini pengalaman fahta ngga bohong sayaklo ngga percaya kalian coba sendiri,"['pengalaman', 'saya', 'pesen', 'maxim', 'waktu', 'order', 'harga', 'nya', 'pas', 'sudah', 'sampai', 'lokasi', 'tiba', 'berubah', 'ini', 'gimana', 'yaaa', 'konsepnya', 'kok', 'ngga', 'sesuai', 'harga', 'order', 'ini', 'pengalaman', 'fahta', 'ngga', 'bohong', 'sayaklo', 'ngga', 'percaya', 'kalian', 'coba', 'sendiri']"
kecewa banget ini sama maxim mending fitur kaspro ditiadakan saja sudah isi ulang nya kena adm mahal waktu saldo masuk juga dipotong adm terlalu banyak adm tetapi saldo masuk sangat lama mau komplain tidak ada fitur bantuan malah disuruh ke chrome isi data segala macam setelah isi malah pake kode bukan robot dan kode selalu salah dipersulit buat komplain akhirnya saya komplain disini,"['kecewa', 'banget', 'ini', 'sama', 'maxim', 'mending', 'fitur', 'kaspro', 'ditiadakan', 'saja', 'sudah', 'isi', 'ulang', 'nya', 'kena', 'adm', 'mahal', 'waktu', 'saldo', 'masuk', 'juga', 'dipotong', 'adm', 'terlalu', 'banyak', 'adm', 'tetapi', 'saldo', 'masuk', 'sangat', 'lama', 'mau', 'komplain', 'tidak', 'ada', 'fitur', 'bantuan', 'malah', 'disuruh', 'ke', 'chrome', 'isi', 'data', 'segala', 'macam', 'setelah', 'isi', 'malah', 'pake', 'kode', 'bukan', 'robot', 'dan', 'kode', 'selalu', 'salah', 'dipersulit', 'buat', 'komplain', 'akhirnya', 'saya', 'komplain', 'disini']"
pembaruan terus tp aplikasi gk pernah jdi bagus map driver gk jalan tiba udh sampe driver malah marah,"['pembaruan', 'terus', 'tp', 'aplikasi', 'gk', 'pernah', 'jdi', 'bagus', 'map', 'driver', 'gk', 'jalan', 'tiba', 'udh', 'sampe', 'driver', 'malah', 'marah']"
jangan kerja kalo ga mau ambil orderan udah jam juga saya tungguin,"['jangan', 'kerja', 'kalo', 'ga', 'mau', 'ambil', 'orderan', 'udah', 'jam', 'juga', 'saya', 'tungguin']"
app suka error,"['app', 'suka', 'error']"
banyak driver yang amanah kirim barang sering kurang dan ilang,"['banyak', 'driver', 'yang', 'amanah', 'kirim', 'barang', 'sering', 'kurang', 'dan', 'ilang']"
brang ketinggalan driver maxim bukannya di pulangin mlh dibawa pulang harus komplain kemna yaa parah ga jujur harus di susppen pengendara driver yg merugikan customer seperti ini,"['brang', 'ketinggalan', 'driver', 'maxim', 'bukannya', 'di', 'pulangin', 'mlh', 'dibawa', 'pulang', 'harus', 'komplain', 'kemna', 'yaa', 'parah', 'ga', 'jujur', 'harus', 'di', 'susppen', 'pengendara', 'driver', 'yg', 'merugikan', 'customer', 'seperti', 'ini']"
pertama kali dan terakhir gunain aplikasi ini dapat bonus katanya bisa buat bayar perjalanan pertama tapi ternyata cuma potongan anehnya lagi pas udah selesai order potongan ga berlaku di aplikasi driver bayar tetep full padahal di aplikasi customer ada potongan pertama kali pake langsung kecewa,"['pertama', 'kali', 'dan', 'terakhir', 'gunain', 'aplikasi', 'ini', 'dapat', 'bonus', 'katanya', 'bisa', 'buat', 'bayar', 'perjalanan', 'pertama', 'tapi', 'ternyata', 'cuma', 'potongan', 'anehnya', 'lagi', 'pas', 'udah', 'selesai', 'order', 'potongan', 'ga', 'berlaku', 'di', 'aplikasi', 'driver', 'bayar', 'tetep', 'full', 'padahal', 'di', 'aplikasi', 'customer', 'ada', 'potongan', 'pertama', 'kali', 'pake', 'langsung', 'kecewa']"
driver ugal ugalan mengakibatkan kecelakaan dan tidak mau mengakui kesalahan respon maxim dan driver sangat tidak membantu respon lama dan tidak bertanggung jawa terhadap customer yang menjadi korban tidak memberikan anggaran kesehatan persyaratan anggaran maxim sangat ribet,"['driver', 'ugal', 'ugalan', 'mengakibatkan', 'kecelakaan', 'dan', 'tidak', 'mau', 'mengakui', 'kesalahan', 'respon', 'maxim', 'dan', 'driver', 'sangat', 'tidak', 'membantu', 'respon', 'lama', 'dan', 'tidak', 'bertanggung', 'jawa', 'terhadap', 'customer', 'yang', 'menjadi', 'korban', 'tidak', 'memberikan', 'anggaran', 'kesehatan', 'persyaratan', 'anggaran', 'maxim', 'sangat', 'ribet']"
aplikasi jelek udah mah update terus update bukannya tambah bagus malah jadi jelek sinyal bagus buka aplikasinya aja lama bener nyari lokasi buffering mulu menghubungkan ke layanan dsb kalo update seharusnya jadi tambah bagus dan cepat aplikasinya,"['aplikasi', 'jelek', 'udah', 'mah', 'update', 'terus', 'update', 'bukannya', 'tambah', 'bagus', 'malah', 'jadi', 'jelek', 'sinyal', 'bagus', 'buka', 'aplikasinya', 'aja', 'lama', 'bener', 'nyari', 'lokasi', 'buffering', 'mulu', 'menghubungkan', 'ke', 'layanan', 'dsb', 'kalo', 'update', 'seharusnya', 'jadi', 'tambah', 'bagus', 'dan', 'cepat', 'aplikasinya']"
ongkosnya hemat drivernya kasian,"['ongkosnya', 'hemat', 'drivernya', 'kasian']"
kasih bintang aja dh males liat driver maxim yg suka nolak orderan padahal jarak dia ke gw tuh dekat tpi malah di tolak gw dah alami banyak hal di apk ini mulai dari driver motormobil yang tidak mau terima orderan dan termasuk sistem maxim yang melempar orderan ke driver tertentu saja padahal ada yg terdekat namun yg dapat malah yg jauh,"['kasih', 'bintang', 'aja', 'dh', 'males', 'liat', 'driver', 'maxim', 'yg', 'suka', 'nolak', 'orderan', 'padahal', 'jarak', 'dia', 'ke', 'gw', 'tuh', 'dekat', 'tpi', 'malah', 'di', 'tolak', 'gw', 'dah', 'alami', 'banyak', 'hal', 'di', 'apk', 'ini', 'mulai', 'dari', 'driver', 'motormobil', 'yang', 'tidak', 'mau', 'terima', 'orderan', 'dan', 'termasuk', 'sistem', 'maxim', 'yang', 'melempar', 'orderan', 'ke', 'driver', 'tertentu', 'saja', 'padahal', 'ada', 'yg', 'terdekat', 'namun', 'yg', 'dapat', 'malah', 'yg', 'jauh']"
sopir nya milih,"['sopir', 'nya', 'milih']"
sebenarnya bagus tapi banyak driver yang berbeda dengan di aplikasi apakah aplikasi ini tidak melakukan verifikasi muka segera perbaiki,"['sebenarnya', 'bagus', 'tapi', 'banyak', 'driver', 'yang', 'berbeda', 'dengan', 'di', 'aplikasi', 'apakah', 'aplikasi', 'ini', 'tidak', 'melakukan', 'verifikasi', 'muka', 'segera', 'perbaiki']"
dear customer lebih baik uninstall aplikasi satu ini kenapa karena pihak aplikator selalu ingin untung sendiri mitranya jadi sengsara dengan segala regulasi yg tidak relevan pihak aplikator hanya mementingkan keuntungan pribadi dengan cara atau membuat regulasi yg merugikan para mitranya sendiri contohnya kami sebagai mitra yg upgrade akun menjadi prioritas itu tidaklah gratis kami bayar rb hanya untuk mendapatkan status akun prioritas dan untuk mendapatkan atribut jaket helm,"['dear', 'customer', 'lebih', 'baik', 'uninstall', 'aplikasi', 'satu', 'ini', 'kenapa', 'karena', 'pihak', 'aplikator', 'selalu', 'ingin', 'untung', 'sendiri', 'mitranya', 'jadi', 'sengsara', 'dengan', 'segala', 'regulasi', 'yg', 'tidak', 'relevan', 'pihak', 'aplikator', 'hanya', 'mementingkan', 'keuntungan', 'pribadi', 'dengan', 'cara', 'atau', 'membuat', 'regulasi', 'yg', 'merugikan', 'para', 'mitranya', 'sendiri', 'contohnya', 'kami', 'sebagai', 'mitra', 'yg', 'upgrade', 'akun', 'menjadi', 'prioritas', 'itu', 'tidaklah', 'gratis', 'kami', 'bayar', 'rb', 'hanya', 'untuk', 'mendapatkan', 'status', 'akun', 'prioritas', 'dan', 'untuk', 'mendapatkan', 'atribut', 'jaket', 'helm']"
jlk bngt udh dimasukin nomer tlp nya tp gk bisa juga pdhl tinggal nunggu kode ny lama bngt,"['jlk', 'bngt', 'udh', 'dimasukin', 'nomer', 'tlp', 'nya', 'tp', 'gk', 'bisa', 'juga', 'pdhl', 'tinggal', 'nunggu', 'kode', 'ny', 'lama', 'bngt']"
sangat buruk dalam menerima orderan,"['sangat', 'buruk', 'dalam', 'menerima', 'orderan']"
ok,['ok']
aplikasi nya kok tdk ada no telp customer krn jika sdh sampe lokasi penjemputan terkadang ditelp pakai aplikasi tdk bisa,"['aplikasi', 'nya', 'kok', 'tdk', 'ada', 'no', 'telp', 'customer', 'krn', 'jika', 'sdh', 'sampe', 'lokasi', 'penjemputan', 'terkadang', 'ditelp', 'pakai', 'aplikasi', 'tdk', 'bisa']"
harga pesan dan harga akhir pembayaran berbeda x lipatnya payah dengan alasan waktu pesanan lama,"['harga', 'pesan', 'dan', 'harga', 'akhir', 'pembayaran', 'berbeda', 'x', 'lipatnya', 'payah', 'dengan', 'alasan', 'waktu', 'pesanan', 'lama']"
penipuan hancurlah,"['penipuan', 'hancurlah']"
makin dipake makin mahal gaada potongan harga kah buat pelanggan setia,"['makin', 'dipake', 'makin', 'mahal', 'gaada', 'potongan', 'harga', 'kah', 'buat', 'pelanggan', 'setia']"
makin kesini makin lelet jelek,"['makin', 'kesini', 'makin', 'lelet', 'jelek']"
batalin pesenan makanan susah bgt,"['batalin', 'pesenan', 'makanan', 'susah', 'bgt']"
demi apapun pas order drive mobil nunggu nya lama banget sampe dapet sekalinya dapet drivenya semena mena batalin pesanan kalau x gk masalah ini berkalikali sampe x bayangin udh nungguin didepan mall dipikir udah dekat karena pemberitahuannya bakal sampe menit lagi tau tau apaan abangnya dateng kagak batalin iya kek gitu terus sampe x,"['demi', 'apapun', 'pas', 'order', 'drive', 'mobil', 'nunggu', 'nya', 'lama', 'banget', 'sampe', 'dapet', 'sekalinya', 'dapet', 'drivenya', 'semena', 'mena', 'batalin', 'pesanan', 'kalau', 'x', 'gk', 'masalah', 'ini', 'berkalikali', 'sampe', 'x', 'bayangin', 'udh', 'nungguin', 'didepan', 'mall', 'dipikir', 'udah', 'dekat', 'karena', 'pemberitahuannya', 'bakal', 'sampe', 'menit', 'lagi', 'tau', 'tau', 'apaan', 'abangnya', 'dateng', 'kagak', 'batalin', 'iya', 'kek', 'gitu', 'terus', 'sampe', 'x']"
makin mahal makin mahal makin mahal tiap bulan naik k terus mending pindah ke grab,"['makin', 'mahal', 'makin', 'mahal', 'makin', 'mahal', 'tiap', 'bulan', 'naik', 'k', 'terus', 'mending', 'pindah', 'ke', 'grab']"
pelayananya sangat memuaskan,"['pelayananya', 'sangat', 'memuaskan']"
driver nya mantap pembalap,"['driver', 'nya', 'mantap', 'pembalap']"
susah banget dapet otp doang,"['susah', 'banget', 'dapet', 'otp', 'doang']"
banyak penipuan,"['banyak', 'penipuan']"
hampir seharian ga ada driver yg mau ambil pesanan saya,"['hampir', 'seharian', 'ga', 'ada', 'driver', 'yg', 'mau', 'ambil', 'pesanan', 'saya']"
drivernyaaa galak galak bngt klo di cancleudh di kasi tau alesan cancle nyaa masi ajaa galakk,"['drivernyaaa', 'galak', 'galak', 'bngt', 'klo', 'di', 'cancleudh', 'di', 'kasi', 'tau', 'alesan', 'cancle', 'nyaa', 'masi', 'ajaa', 'galakk']"
dapet voucher k dari orang yang dateng ke sekolah tapi ga bisa di pakesial,"['dapet', 'voucher', 'k', 'dari', 'orang', 'yang', 'dateng', 'ke', 'sekolah', 'tapi', 'ga', 'bisa', 'di', 'pakesial']"
tolong dong di responkami butuh cepatalah ga ada respon,"['tolong', 'dong', 'di', 'responkami', 'butuh', 'cepatalah', 'ga', 'ada', 'respon']"
maxim tolol di update malah kaga muncul otp nya,"['maxim', 'tolol', 'di', 'update', 'malah', 'kaga', 'muncul', 'otp', 'nya']"
maxim tolong lah untuk pelaksanaan nya agak di percepat terlalu lama harga naik tapi pelayanan kurang oke buat apa,"['maxim', 'tolong', 'lah', 'untuk', 'pelaksanaan', 'nya', 'agak', 'di', 'percepat', 'terlalu', 'lama', 'harga', 'naik', 'tapi', 'pelayanan', 'kurang', 'oke', 'buat', 'apa']"
sering lama kalau mau cari driver untuk jemput makanan perut udh keburu lapar driver belum dpt dapat,"['sering', 'lama', 'kalau', 'mau', 'cari', 'driver', 'untuk', 'jemput', 'makanan', 'perut', 'udh', 'keburu', 'lapar', 'driver', 'belum', 'dpt', 'dapat']"
argo nya terlalu murah dan titik tidak terlalu tepat di aplikasi maxim beda pas driver liat beda kasian lah ke driver mu maxim,"['argo', 'nya', 'terlalu', 'murah', 'dan', 'titik', 'tidak', 'terlalu', 'tepat', 'di', 'aplikasi', 'maxim', 'beda', 'pas', 'driver', 'liat', 'beda', 'kasian', 'lah', 'ke', 'driver', 'mu', 'maxim']"
sistem pemilihan titik di tujuan di map susah dan tidak akurat,"['sistem', 'pemilihan', 'titik', 'di', 'tujuan', 'di', 'map', 'susah', 'dan', 'tidak', 'akurat']"
daftar tp kode gk masuk padahal udah buru sangat mengecewakan,"['daftar', 'tp', 'kode', 'gk', 'masuk', 'padahal', 'udah', 'buru', 'sangat', 'mengecewakan']"
lokasinya ga update,"['lokasinya', 'ga', 'update']"
banyak yang makai apk inisampai sampai pesan maxim tapi tak mau bayar ujungnya si driver yg rugi banyak tolong d perbaiki sistemnya,"['banyak', 'yang', 'makai', 'apk', 'inisampai', 'sampai', 'pesan', 'maxim', 'tapi', 'tak', 'mau', 'bayar', 'ujungnya', 'si', 'driver', 'yg', 'rugi', 'banyak', 'tolong', 'd', 'perbaiki', 'sistemnya']"
plss lah gue cuma minta bantuan karena gak dapat kode konfirmasi tapi kok susah banget harus ini itu jungkir balik dll,"['plss', 'lah', 'gue', 'cuma', 'minta', 'bantuan', 'karena', 'gak', 'dapat', 'kode', 'konfirmasi', 'tapi', 'kok', 'susah', 'banget', 'harus', 'ini', 'itu', 'jungkir', 'balik', 'dll']"
pesanan ga bisa dibatalin tuh gimana aplikasi busuk,"['pesanan', 'ga', 'bisa', 'dibatalin', 'tuh', 'gimana', 'aplikasi', 'busuk']"
kendaraan driver yang sangat tidak layak beroperasi masih di pergunakan tolong pihak maxim untuk selektif dalam,"['kendaraan', 'driver', 'yang', 'sangat', 'tidak', 'layak', 'beroperasi', 'masih', 'di', 'pergunakan', 'tolong', 'pihak', 'maxim', 'untuk', 'selektif', 'dalam']"
harga tiba berubah dari menjadi kacawww,"['harga', 'tiba', 'berubah', 'dari', 'menjadi', 'kacawww']"
aplikasi ojol terjelek dan terparah suka lemot suka lalod dan harga argonya sangat tidak masuk akal untuk driver menyengsarakan driver,"['aplikasi', 'ojol', 'terjelek', 'dan', 'terparah', 'suka', 'lemot', 'suka', 'lalod', 'dan', 'harga', 'argonya', 'sangat', 'tidak', 'masuk', 'akal', 'untuk', 'driver', 'menyengsarakan', 'driver']"
pelayanannya driver tidak ramah ga di ajarin sama pihak aplikatornyamaps susahga mau kluar modal krja sama google mapsmau untung doang nih aplikasi keselamatan penumpang kayanya di abaikan mendingan pake ya ada jaminan keselamatanbuat apa murah ongkos nya dari pada tidak ada layanan yg baikpake aplikasi yg lain aja lahjelas lebih aman respon pengaduan jga cepet di aplikasi yg lain,"['pelayanannya', 'driver', 'tidak', 'ramah', 'ga', 'di', 'ajarin', 'sama', 'pihak', 'aplikatornyamaps', 'susahga', 'mau', 'kluar', 'modal', 'krja', 'sama', 'google', 'mapsmau', 'untung', 'doang', 'nih', 'aplikasi', 'keselamatan', 'penumpang', 'kayanya', 'di', 'abaikan', 'mendingan', 'pake', 'ya', 'ada', 'jaminan', 'keselamatanbuat', 'apa', 'murah', 'ongkos', 'nya', 'dari', 'pada', 'tidak', 'ada', 'layanan', 'yg', 'baikpake', 'aplikasi', 'yg', 'lain', 'aja', 'lahjelas', 'lebih', 'aman', 'respon', 'pengaduan', 'jga', 'cepet', 'di', 'aplikasi', 'yg', 'lain']"
lain kali kalau mau punya driver milih milih deh ya maxim nol bgt,"['lain', 'kali', 'kalau', 'mau', 'punya', 'driver', 'milih', 'milih', 'deh', 'ya', 'maxim', 'nol', 'bgt']"
rusak aplikasinya masa order nya dimana dpt drivernya jarak menit dari titik jemput dibenerin lagi sistemnya,"['rusak', 'aplikasinya', 'masa', 'order', 'nya', 'dimana', 'dpt', 'drivernya', 'jarak', 'menit', 'dari', 'titik', 'jemput', 'dibenerin', 'lagi', 'sistemnya']"
mantap,['mantap']
aplikasiii tolollllllll ibu dan anak saya diajak muter kaga jelaspesanan ke cakung malah ke jatinegaratoloooollllkk,"['aplikasiii', 'tolollllllll', 'ibu', 'dan', 'anak', 'saya', 'diajak', 'muter', 'kaga', 'jelaspesanan', 'ke', 'cakung', 'malah', 'ke', 'jatinegaratoloooollllkk']"
aplikasi bagus namun hari ini driver mengirimkan pesan tidak pantas melalui chat mohon untuk ditindaklanjuti,"['aplikasi', 'bagus', 'namun', 'hari', 'ini', 'driver', 'mengirimkan', 'pesan', 'tidak', 'pantas', 'melalui', 'chat', 'mohon', 'untuk', 'ditindaklanjuti']"
kasih dong mode motor untuk penumpang min nanti baru ku kasih bintang,"['kasih', 'dong', 'mode', 'motor', 'untuk', 'penumpang', 'min', 'nanti', 'baru', 'ku', 'kasih', 'bintang']"
terimakasih,['terimakasih']
x saw,"['x', 'saw']"
emang murah untuk harga nya tapi pelayanan nya payah suka marahmarah kalo di order malah gua di katain kalo emang karyawan kayak gitu dikasih kerjaan mending pecat aja bikin gak mod order lagi hadeh temanteman gua saranin jangan donwload apk ini karyawan nya sampah semua,"['emang', 'murah', 'untuk', 'harga', 'nya', 'tapi', 'pelayanan', 'nya', 'payah', 'suka', 'marahmarah', 'kalo', 'di', 'order', 'malah', 'gua', 'di', 'katain', 'kalo', 'emang', 'karyawan', 'kayak', 'gitu', 'dikasih', 'kerjaan', 'mending', 'pecat', 'aja', 'bikin', 'gak', 'mod', 'order', 'lagi', 'hadeh', 'temanteman', 'gua', 'saranin', 'jangan', 'donwload', 'apk', 'ini', 'karyawan', 'nya', 'sampah', 'semua']"
ada saldo tapi g bisa dipakai gimn sih buat order rid atau food harus kes tida bisa non tunai buat apa ada saldo diakun,"['ada', 'saldo', 'tapi', 'g', 'bisa', 'dipakai', 'gimn', 'sih', 'buat', 'order', 'rid', 'atau', 'food', 'harus', 'kes', 'tida', 'bisa', 'non', 'tunai', 'buat', 'apa', 'ada', 'saldo', 'diakun']"
ok,['ok']
penipuan guys,"['penipuan', 'guys']"
parah isinya sangat buruk,"['parah', 'isinya', 'sangat', 'buruk']"
transportasi anehdriver baperan nunggu menit doang gak mau,"['transportasi', 'anehdriver', 'baperan', 'nunggu', 'menit', 'doang', 'gak', 'mau']"
sales penipu,"['sales', 'penipu']"
pembatalan order makanan tidak bisa di cancel pd hal toko yg di tuju kehabisan peta di maxim tidak up to date,"['pembatalan', 'order', 'makanan', 'tidak', 'bisa', 'di', 'cancel', 'pd', 'hal', 'toko', 'yg', 'di', 'tuju', 'kehabisan', 'peta', 'di', 'maxim', 'tidak', 'up', 'to', 'date']"
kak kenapa ga bisa login,"['kak', 'kenapa', 'ga', 'bisa', 'login']"
susah banget aplikasinya ngebingunginsoulit pokoknyapesanan ga bisa dibatalkan sama pemesan,"['susah', 'banget', 'aplikasinya', 'ngebingunginsoulit', 'pokoknyapesanan', 'ga', 'bisa', 'dibatalkan', 'sama', 'pemesan']"
apk nya ga jelas harga nya kadang naik kadang turun,"['apk', 'nya', 'ga', 'jelas', 'harga', 'nya', 'kadang', 'naik', 'kadang', 'turun']"
gk usah di pakai aplikasi ini buat kecewa aja,"['gk', 'usah', 'di', 'pakai', 'aplikasi', 'ini', 'buat', 'kecewa', 'aja']"
payah kamu cim yg fokus mlempem yg isengmain akun gacor,"['payah', 'kamu', 'cim', 'yg', 'fokus', 'mlempem', 'yg', 'isengmain', 'akun', 'gacor']"
tidak bisa daftar driver sudah masuki no telp tidak bisa lanjut,"['tidak', 'bisa', 'daftar', 'driver', 'sudah', 'masuki', 'no', 'telp', 'tidak', 'bisa', 'lanjut']"
perbaiki aja map nya om maximkadang kadang map nya agak lain,"['perbaiki', 'aja', 'map', 'nya', 'om', 'maximkadang', 'kadang', 'map', 'nya', 'agak', 'lain']"
order telah dipenuhi oleh firman hariadi dengan motorcycle warna hitam nopol nacv terima kasih atas perjalanan anda rating,"['order', 'telah', 'dipenuhi', 'oleh', 'firman', 'hariadi', 'dengan', 'motorcycle', 'warna', 'hitam', 'nopol', 'nacv', 'terima', 'kasih', 'atas', 'perjalanan', 'anda', 'rating']"
bagaimana caranya supaya bisa login lagi,"['bagaimana', 'caranya', 'supaya', 'bisa', 'login', 'lagi']"
kamis hey gojek stop live how batamnews are looking for something that good not maxim sad ending bad ending no bukan hanya untukmu yang bisa ikut no,"['kamis', 'hey', 'gojek', 'stop', 'live', 'how', 'batamnews', 'are', 'looking', 'for', 'something', 'that', 'good', 'not', 'maxim', 'sad', 'ending', 'bad', 'ending', 'no', 'bukan', 'hanya', 'untukmu', 'yang', 'bisa', 'ikut', 'no']"
kenapa dapet ordernya jauh terus kadang ada yg menit ini mau bunuh driver gmn sy cm pelanggan tp masih punya hati,"['kenapa', 'dapet', 'ordernya', 'jauh', 'terus', 'kadang', 'ada', 'yg', 'menit', 'ini', 'mau', 'bunuh', 'driver', 'gmn', 'sy', 'cm', 'pelanggan', 'tp', 'masih', 'punya', 'hati']"
aplikasi gk jelaspesan makanan harga sudah sama ongkir sampai di tempat harga jadi ribuini aplikasi pembodohanmasuk tindak pidana penipuan kalau seperti ituuntuk lokasi palu sulawesi tengahdnjx tukang ngantarnya nih,"['aplikasi', 'gk', 'jelaspesan', 'makanan', 'harga', 'sudah', 'sama', 'ongkir', 'sampai', 'di', 'tempat', 'harga', 'jadi', 'ribuini', 'aplikasi', 'pembodohanmasuk', 'tindak', 'pidana', 'penipuan', 'kalau', 'seperti', 'ituuntuk', 'lokasi', 'palu', 'sulawesi', 'tengahdnjx', 'tukang', 'ngantarnya', 'nih']"
itu tolong betulin drivernya profilnya beda sama pengemudinya gimna mau aman tolonglah tertipkan dulu drivernya,"['itu', 'tolong', 'betulin', 'drivernya', 'profilnya', 'beda', 'sama', 'pengemudinya', 'gimna', 'mau', 'aman', 'tolonglah', 'tertipkan', 'dulu', 'drivernya']"
kenapa di perangkat saya tdk bisa login atau tdk ada kode otp nya ya,"['kenapa', 'di', 'perangkat', 'saya', 'tdk', 'bisa', 'login', 'atau', 'tdk', 'ada', 'kode', 'otp', 'nya', 'ya']"
sekarang maksim pilih pilih ya kalo mau mesan maksim food giliran yg harga mahal bisa eee yg harga murah malah gak bisa gimana sih,"['sekarang', 'maksim', 'pilih', 'pilih', 'ya', 'kalo', 'mau', 'mesan', 'maksim', 'food', 'giliran', 'yg', 'harga', 'mahal', 'bisa', 'eee', 'yg', 'harga', 'murah', 'malah', 'gak', 'bisa', 'gimana', 'sih']"
mapsnya gak jelas beda sama gojek grab yang terafiliasi dengan gmaps,"['mapsnya', 'gak', 'jelas', 'beda', 'sama', 'gojek', 'grab', 'yang', 'terafiliasi', 'dengan', 'gmaps']"
aplikasi nya sii uda baguss cmn cara cari pengemudi nya lamaa bngtt kalaw bisaa ya di perbaiki lgi,"['aplikasi', 'nya', 'sii', 'uda', 'baguss', 'cmn', 'cara', 'cari', 'pengemudi', 'nya', 'lamaa', 'bngtt', 'kalaw', 'bisaa', 'ya', 'di', 'perbaiki', 'lgi']"
saya kagak bisa login sehigga tidak bisa mendapat kan vocer jadi saya kasih butang,"['saya', 'kagak', 'bisa', 'login', 'sehigga', 'tidak', 'bisa', 'mendapat', 'kan', 'vocer', 'jadi', 'saya', 'kasih', 'butang']"
temen gua ketabrak,"['temen', 'gua', 'ketabrak']"
